airline,overall,author,review_date,customer_review,aircraft,traveller_type,cabin,route,date_flown,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Alaska Airlines,10,Jack T Rogers,15th October 2017,"Verified Review | Redmond to Denver. I wanted to acknowledge the outstanding assistance I received from a booking agent of the Alaska Air Seattle, WA. office in making last minute reservations for two separate trips I was planning to take. The agent patiently walked me through the process to book a flight from Redmond, OR to Denver, CO. on October 3rd, 2017. She also assisted me in booking a flight for my wife and I round trip from Portland, OR to Fort Myers, FL departing on April 24th, 2018 and returning May 19th, 2018. She was friendly and polite throughout our entire contact and serves as a great representative to Alaska Airlines which is why I continue to choose Alaska AL whenever available.",,Family Leisure,Economy Class,Redmond to Denver,October 2017,4,4,,,4,5,yes
Alaska Airlines,1,B Cox,11th October 2017,"Verified Review | Flew Seattle to Sacramento. First they bumped us from premium when they downgraded our plane, then they moved my large child onto my lap and I was forced to buy a new ticket at last minute prices (4x what I originally paid). Then they boarded and we sat on the runway forever before they returned to the gate to let someone on. How important did that person think they were. If they were sick or something I'd be happy to accommodate them but they seemed decidedly not in special circumstances, then we sat again for 20 minutes. By the time we took off we were supposed to have landed. My poor daughter was worked by the stress of the situation and I ran out of snacks and tricks. Seriously unhappy with the service.",,Family Leisure,Premium Economy,Seattle to Sacramento,October 2017,2,1,,,1,1,no
Alaska Airlines,1,Jason Kreitzer,9th October 2017,"Verified Review | New York to Lihue via Seattle. I booked a trip to Hawaii on Alaska almost 1 year before the flight date. This week, Alaska decided to change all of their flights, turning what would have been an 11 hour trip to New york into a 20+ hour trip with an overnight layover. I am flying with a 9 year old. When I called two days ago the agent had offered to fix my trip by routing us from Ogg->LAX->JFK. I called back today (2 days later) to take them up on that offer, and the agent said she would be unable to do that, and that I'd have to buy a whole new ticket. This is ridiculous on multiple levels. First, I paid $3000 for the voucher I used, which was donated by an Alaska executive at a Parkinson's charity auction. I am happy to track down and document all the details of that. Second, It is the airline schedule change that is causing this issue. Third, Alaska Airlines offered me this remedy two days ago, which was not ideal, and are now retracting that offer. Frankly, I'm speechless. This is the worst customer service experience I've had in a long time. Probably ever. And this is just the return flight. For the outgoing flight, they've change the schedule so that my connection now departs before I arrive. There is another flight from JFK (rather than Newark) that would solve this issue, but they are unwilling to make that change, due to some technicality in their system -- even though these airports are 20miles apart. See the picture below. It's a total joke.",,Business,First Class,New York to Lihue via Seattle,June 2017,,,,,1,1,no
Alaska Airlines,1,K Seely,27th September 2017,"Verified Review | Tried Alaska Airlines once, never again. Flying from Phoenix to Edmonton with a connection in Seattle. Phoenix to Seattle left on time, but was 25 minutes late. We got to our gate in Seattle 10 minutes before our flight was supposed to leave to have them say sorry, go rebook with customer service. It was their mistake and they still wouldn't let us on the plane that was at the gate. Will never fly or recommend this airline.",Boeing 737,Couple Leisure,Economy Class,Phoenix to Edmonton via Seattle,September 2017,2,2,,,1,2,no
Alaska Airlines,9,S Schinkel,20th September 2017,"Verified Review | Portland to Santa Barbara. I had a wonderful trip. Got in early and just perfect. On my way home had a rather interesting trip. First our plane was late. Arrived at PDX alniatcan hour late. Then had maintenance issues, somleft Oregon line an hour late. Everything seemed fine, but then just as we were going to be landing in Santa Barbara, tee were diverted to Fresno for sone issue with a stabilizer and needed a longer runway. I was a bit freaked, but we landed safely in Fresno. All were taken off the plane, and were in Fresno for about an hour. Were given food vouchers and snacks. Thankfully it turned out it was not a stabilizer, but the computer and plane were not synched correctly and was easily fixed. We were in Santa Barbara after this in a half hour. I think the flight crew were wonderful as was the pilot and co pilot. Our safety was number 1, and to me that means a great deal. Would fly Alaska again and feel secure with them.",Embrauer175,Solo Leisure,Economy Class,Portland to Santa Barbara,September 2017,4,5,4,,3,4,yes
Alaska Airlines,5,Simon Castleman,14th September 2017,Verified Review | Flight from Seattle to Bozeman was delayed by 2 hours and after a long trip the last thing you need is a long delay. The FA's did a good job considering that everybody was annoyed at the delay. The problem was lack of credible information on the ground. The delay kept being extended and extended. I think Alaska Airlines could have done a better job keeping us informed.,Dash 400,Solo Leisure,Economy Class,Seattle to Bozeman,August 2017,2,4,2,,1,3,yes
Alaska Airlines,1,C Roberts,26th August 2017,"Verified Review | Returning home to Phoenix from Alaska to Phoenix via Seattle. Had boarding passes issues in Anchorage. I had 15 minutes to get to my gate before boarding started which was unbelievably far away. Arrived at Gate C and sent me to gate N for which you have an underground shuttle. Once I arrived at my ticketed gate I found they move to back to gate C on the other side of the airport. Had to run like a fool and barely made it at the cost of running around people. All the ""smiles"" from flight crew don't over ride the lack of communication and help by gate personnel when simply said ""your gate was moved - better hurry only 10 minutes till doors close"". Note to gate desk personnel - when you see a boarding pass was issued then changed with the gate you are in charge of, maybe you can be a little more helpful. And note to exit staff, maybe update passengers of connecting gate changes as they leave the plane. Seems like the 1st rule in transportation. Help your customers find their destination when you make a change or issue a incorrect boarding pass. Maybe even offer to call the correct gate people to tell them you are on your way.",Boeing 737-900,Family Leisure,Economy Class,Seattle to Phoenix,August 2017,3,4,3,2,1,2,no
Alaska Airlines,1,E Dorlan,15th August 2017,Verified Review | Seattle to Ontario. Flight was canceled and then they booked me on an oversold flight. It is extremely frustrating when you get the the ticket counter and the attendant tells you that the flight is overbooked! Who's fault is that? They make it sound like it is our fault.,,Business,Economy Class,Seattle to Ontario,August 2017,1,1,,,1,1,no
Alaska Airlines,2,C Saunders,14th August 2017,"Verified Review | We flew from Saint Louis to Anchorage with Alaska Airlines. One of our bags did not make it on the plane in Seattle. When we arrived to Anchorage, we realized it did not arrive. The luggage service told us they did not put the suitcase on in Seattle because the ""plane was too heavy"". They offered a $25 discount on future travel! They could not tell us when our luggage would arrive, despite at least 10 flights a day from Seattle to Anchorage. Furthermore, they could not tell us when we would receive a bag. Finally, they could not tell us what kind of allowance we could have to purchase gear needed for fishing which was in our bag. To make matters worse, the airline never communicated with us via phone to provide updates. The following morning, almost 24 hours later, the bag had not arrived. We were then informed initially that it would be on a train, then on a bus to Seward, 2.5 hours from Anchorage. The bag was then delivered to a random Bed and Breakfast in Seward. After multiple phone calls and hours spent, the bag was located and delivered to our lodge approximately 30 hours after arrival. Customer service could only offer $300 off future travel, even though we told them we wanted something else.",,Business,Economy Class,St Louis to Anchorage,August 2017,3,4,2,1,1,1,no
Alaska Airlines,1,Jonathon England,3rd August 2017,"Verified Review | Seattle to Honolulu. This was the most disappointing flight of my life. I had paid for Premium Seats at $60US extra. Then 3 days before our flight they email us, not call, to tell me that they are changing the aircraft and there are no premium seats. Well what happened to my $120? Oh it will takes up to 14 days to get that back sir. So not only did we loose our great seats in our this money till it's returned on there accord. During the flight we asked to by chips 3-4 times, every time they said ' Oh we are just checking for those"". Finally we land and still no chips during a 6 hour flight. Also, no Wifi connectivity through out the entire flight! Way to go Alaska airlines. I know I will never fly with them again.",,Couple Leisure,Economy Class,Seattle to Honolulu,August 2017,1,2,1,1,1,1,no
