airline,overall,author,review_date,customer_review,table
Southwest Airlines,1,Daniel Cate,17th October 2017,"Verified Review | San Diego to El Paso. Southwest has officially lost all business and thousands of dollars a year from someone who used to be a loyal customer. My mother has been very sick and I had to fly back home to El Paso TX to be by her side. I’ve also had to push my flight back more than a few times cause I just can’t leave her in this state. The last change somehow changed my flight to the same day, same time. Instead of the next day. They were able to look it up but still unwilling to do anything about it. They said their no show policy states there has to be an attempt to cancel the flight. Why would someone first their flight to the same exact date and time. Next if you were sure that it was for the next day why would you attempt to cancel it. I am so dissatisfied with their customer service!","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route San Diego to El Paso
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Inflight Entertainment 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,10,Jason Cuperus,14th October 2017,"Verified Review | My wife and I are travelling around the US for the first time from Australia. We were unsure of the local airlines and relied on mixed reviews. We flew Southwest from San Francisco to Orlando and Washington DC to New York and were amazed at the quality of service. The check in system is easy and efficient. the staff keep you posted at the departure gate on how to line up and how many people are on the flight. The system of no reserved seats appears daunting but somehow it works really well. Once on the plane the cleanliness was surprisingly good, the legroom was amazing as I am 6'5 and my wife 6' and the friendliness of the staff was as good as we have ever seen. Southwest Airlines will be my first choice for all future flights and I hope they maintain the high standards they currently have.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Washington DC to New York
Date Flown October 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,7,T Balineska,1st October 2017,"Verified Review | Cancun to Baltimore. On a way home our flight was #1612 and I agree with customers who had not pleasant experience with flight attentents. We had a few coupons for free drinks and decided to use it on a way home because it was my husband birthday. I ordered Bloody Mary. My drink was amazing. I received a can of mix, packet of species and a bottle of vodka. I had over ice and had to add it to my plastic cup again to finish all liquid. My husband called a few times our flight attended to order more drinks for him. Then we heard unnecessary comment "" don't you think it's too much of jack Daniels?"" Maybe it was a joke but we paid for our drinks and it doesn't say how many drinks you can have. We are over 50 years old and I don't think those comments were appropriate. Our""neighbor heard about celebrating birthday and decided to join us with her friend. She also ordered Bloody Mary. For our surprise light attendant brought her plastic cup with ice and already premixed drink. We were schocked. This lady saw me having like total of 2 cups versus one that she got. What happened to other part of vodka and mix of Bloody Mary? Are you guys trying to get $5/drink and split it for 2 people? Not cool at all. Very cheap move. I like Southwest, never had problems but this incident ruined my opinion about that. Unfortunately it's only airline we have to use to get to Cancun and its very fast. I'll try to order my drink in a future just to check if you will improve but how unsanitary is to biting unopened drinks.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Cancun to Baltimore
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,1,C Pool,28th September 2017,"Verified Review | St Louis to Atlanta. I have been flying Southwest because they're cheap. The thing they upsell you on is boarding order. For my flight on 9/26 I purchased ""Business Select"" (and paid more for it) for flight 426 so I could get priority boarding. When it came time to board the gate agent allowed everyone to board in whatever order they wanted regardless of their boarding number. I had A-1 but because the gate agent said people could board in whatever order people pushed past me to board first. I asked the gate agent what was going on and why we're not boarding in order. He said to just get on the plane. Once on the plane I asked the lead flight attendant what was going on and she said the flight was light so just take a seat. I contacted Southwest's customer service web page and filled out a complaint. I got a response from a ""no-reply"" email saying sorry but that they would do anything including not refunding the cost for the business select boarding they didn't deliver. My opinion of Southwest Airlines is they're unethical to charge you for something and not deliver, and then not even care. Southwest is not just a shabby airline, they are in my opinion scam artists.","Aircraft Boeing 737
Type Of Traveller Business
Cabin Flown Economy Class
Route St Louis to Atlanta
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,Rebecca Walterbach,20th September 2017,Verified Review | New York to Dallas. Would not fly here again. They notified my hours before my flight by text message saying that they had cancelled my flight and didn't say why so I called and the gentleman said it was because of weather. So I tried rescheduling a flight since my brothers wedding was the next day but they didn't have anything left. So I was told to go to the airport which was 2 hours away and see if I could get on a flight but they just ignored me and said the fastest they could get me out was Monday and the wedding was Saturday. They were super rude and didn't care what happened to me after I stood there 2 hours to talk to someone. I ended up having to spend $500 on a flight out instead of the $150 flight I had booked months ago. It was horrible I have never been through something so stressful in my life.,"Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route New York to Dallas
Date Flown August 2017
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,2,Shannon Mills,20th September 2017,"Verified Review | Seattle to Milwaukee via St. Louis. The flight itself was okay, but the flight was delayed on both my trip out and my trip back home. Very little info was shared about why and the delay out of St. Louis back to Seattle was extensive due to staffing issues. Unacceptable. You should not have to call in staff last minute. We had to wait for staff twice because the first back-up never showed. It seems every time I fly with this airline, there is a delay. I don't have this problem with other airlines and I don't know that I will fly Southwest again.","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Seattle to Milwaukee via St. Louis
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,Nick Paige,16th September 2017,"Verified Review | Chicago Midway to Phoenix. I set up a vacation for my wife to go see her best friend in Arizona, this is her first time flying. Her flight was scheduled to leave from Midway airport In Chicago at 11:15am. We got there a couple hours early, got through checkout and thought we were good to go! 40 minutes before she's supposed to board, the flight got delayed and was now scheduled to leave at 1:35pm. We left to get some food and was back at the gate by 12:45. They then delay the flight to 2:35. Then just minutes later they cancel the flight! Went to the counter to ask what to do. They told us as long as the ticket had today's date we can go to terminal B17 and catch that flight. So we go to B17 and they informed us that was wrong and that they were ""probably just trying to get us through the line"". We then had to go stand in a different line, which we waited in that line for an hour and a half and in that time only went half way. I finally go up to the terminal attendant to ask him what we can do. He again said we need to wait in that line in hopes of being put on standby. Luckily a pilot overheard him and asked me what was going on. So I explained the story and he kindly went behind the desk and told them to change her over to that flight! I thought we were home free, but I was mistaken. He told her that instead of being a direct flight like the original flight I booked her, there would be a layover in Oakland. He said she wouldn't have to leave the plane when they go there. She called me in Oakland saying they forced her off the plane and since the pilot had the ticket she didn't have a ticket to show the attendant who was rude. So she got off the plane and tried explaining to the attendant what happened. The attendant told her ""to bad cause you don't have a ticket"". My wife went up to the counter panicking. The woman made a few calls and almost an hour later was able to get her on the flight to Phoenix. In Phoenix she was supposed to be picking up a rental car from Advantage (I purchased everything through southwest.com) and when I called to verify the car they said there wasn't a reservation. When I called to ask Southwest, they said they don't rent through Advantage. I asked to speak to a supervisor and they confirmed they do in fact rent through Advantage. Something apparently happened in processing the rental car so now her friend has to drive to Phoenix to pick her up. This was the absolute worst experience with Southwest.","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Chicago Midway to Phoenix
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,5,Britney Rocha,13th September 2017,"Verified Review | Chicago to Providence. I am not a fan of Southwest airlines. Even though they offer a lot of freebies. The seating is open seating. There is no way to actually pick a seat. When you purchase your ticket you are given A,B or C and you just board when your info is called, but you cannot choose which one you want when booking your ticket. It is terrible. I will not fly Southwest again. I was traveling with my spouse and we couldn't even sit together. Everyone who boarded ahead of us took window and aisle seat.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Chicago to Providence
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,1,E Kosko,11th September 2017,"Verified Review | Montego Bay to Baltimore. Southwest was always my preferred airline. However after this experience I am appalled by the way this situation was handled. An air traffic control tower was struck by lightning on 9/8/2017 in Jamaica. We were suppose to leave on 9/9/2017. Obviously this wasn't an option, completely understandable. But the tower was fixed late night on 9/9/2017. As we talk to others that were forced to stay at the resort ($450 a night) with us their airlines Delta, American, United, etc. were understanding and scheduled extra flights to help out and get them home to their families. But Southwests' answer to us is to bad we aren't sending extra flights forcing us to spend an extra $2000+ on a room and missing out on being paid at work. Southwests' answer is you're staying until Wednesday 9/13/2017. I guess I had the wrong assumption of this airline and stand corrected. Way to go Southwest (as sarcastic as I can be here) you've ruined this trip for my family.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Montego Bay to Baltimore
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,10,Courtney Tonarelli,8th September 2017,"Verified Review | Flew Sacramento to San Diego with Southwest. The staff on this aircraft were wonderful! They were all so friendly, and gave excellent service. From loading all the way to unloading. They made me feel so comfortable! Thank you for making my flight so enjoyable!","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Sacramento to San Diego
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,9,W Lawner,4th September 2017,"Verified Review | Chicago to Las Vegas. Our row was completely missed to get drink order. When the flight attendant came around to drop drinks/snacks off to other rows we asked for a drink. We got an eye roll from the flight attendant after our entire row was completely awake yet again missed in the drink order. The gentleman aside from myself and my boy friend as rudely spoken to accusing him of being asleep which he was not. My boy friend also got a drink and while the attendant did seem preoccupied with attending to other guests on the flight my boy friend gently reminded him we ordered drinks, which was followed by a rude comment and loud embarrassing response from the attendant on just how may people were on the flight and we had to wait. We would have not had said anything if he didn't seem completely dismissive with our request. I understand they are busy but the attendant's responsive was just rude. This was my first trip with southwestern and the flight started off fantastic with the attendant making jokes and my previous flight before the lay over was seamless and fantastic. This absolutely ruined my experience with Southwestern on how rude the attendant was.","Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Chicago to Las Vegas
Date Flown September 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,10,Melvyn Polon,28th August 2017,Verified Review | I was unable to fly from Nashville to Dallas because of the hurricane in Texas. Southwest staff bent over backwards to help me and the outcome has been more than satisfactory. I feel very grateful for the standard of customer service.,"Type Of Traveller Couple Leisure
Cabin Flown Economy Class
Route Nashville to Dallas
Date Flown August 2017
Seat Comfort 12345
Cabin Staff Service 12345
Ground Service 12345
Value For Money 12345
Recommended yes"
Southwest Airlines,1,Madeline Garza,26th August 2017,"Verified Review | Salt Lake City to Albuquerque. Extremely upset with the service of Southwest. I am a freelance makeup artist and have to fly sometimes for jobs. Have never had a problem with Southwest until now. I check my makeup kit due to the fact I have a lot of liquids and can't have it as a carry on. I had them put a fragile sticker on just as a precaution because I packed it well and it should have been fine. I opened my kit once I get on site for my job and everything is shattered. I was reassured by numerous Southwest incident associates that since the damage was extensive and puts me out of a job I should be reimbursed. Going through months of trying to get my case looked at and have to deny jobs due to the fact my equipment is ruined they finally got back to me. ""Unfortunately we will not be reimbursing you because we are not liable. Here's a voucher for your next flight"" Thanks for putting me out hundred of dollars, putting me out of a job, oh! But thanks for the voucher.","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Salt Lake City to Albuquerque
Date Flown May 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,4,A Wright,18th August 2017,"Verified Review | This is the second time in as many months that I have tried to fly Southwest from Burbank to Salt Lake City. Both flights were delayed a significant amount of time and no notice until 30 minutes before scheduled departure. I asked an agent if it would be okay to leave so that I didn't have to sit in the airport for 2.5 hours. He said he wouldn't advise it because the departure time can change again. When I asked if any of the times they put up mean anything he said ""yes!"" Obviously didn't get my sarcasm. When I asked why my flights keep getting delayed his only response was ""it's the nature of the business."" If that is the case, why do we have departure times at all? If this had been a one time scenario I could understand, but this seems to be happening more and more. Do not trust this airline to fly on time more than about 20% of their flights. That seems to be my average.","Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route Burbank to Salt Lake City
Date Flown August 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
Southwest Airlines,2,J Pheeny,18th August 2017,"Verified Review | Atlanta to Dallas Love Field. Our frustrating and unexpectantly expensive situation with Southwest Airlines began on Sunday August 6th 2017 after having spent a wonderful weekend in Georgia at Ft. Benning to celebrate our son’s graduation from Boot Camp. Our group consisted of our son’s 3 parents and 1 elderly grandmother who needs physical assistance getting around. Ready to head to the Atlanta airport to catch our flight (2419) back to Dallas Love Field, we received an elctronic message stating that our flight was cancelled due to thunderstorms over Dallas. We called home (Dallas) to check with our house sitter and other friends to hear what the weather was like. They said there were no storms at all. It was clear skies and very hot. I checked my weather app and saw no storms in the DFW area. We called Southwest customer service who said we could spend the night in a hotel in Atlanta and catch a flight to Dallas the next morning. But we needed to get back to work the next morning (a Monday). We asked for reimbursement for the 4 tickets we will need to by from other airlines. SWA Rep said we would need to call Customer Relations. But a refund is not possible since the cancellation was due to weather! When we arrived at the Atlanta airport we ran to the American Airlines ticket window and bought the last 2 AA tickets flying to DFW that evening for $536.40! AA ticket counter rep told us all flights to Dallas and DFW airports were flying with no weather issues. So we let our son’s mother and elderly grandmother have these 2 tickets since we were not sure there would be any other available flights out that night. Then we ran to the other end of the terminal to the Delta ticket counter. We bought 2 tickets to DFW for $654.32! Delta also confirmed no weather issues flying into the DFW area. The total for 4 tickets including terminal fees cost us $1,217.72! I called SWA Customer Relations the next day to inquire about a refund for the 4 tickets we had to purchase due to the SWA cancellation. We spoke to SWA Customer Relations rep at the corporate office in Dallas TX. He said no refund is given when a cancellation is made due to weather. He said the FAA said there were thunderstorms over Dallas. I shared that I called friends in various locations in Dallas and NO ONE saw a single could in the sky. I shared that ALL other airlines were flying from Atlanta to Dallas that afternoon and evening with no knowledge of storms in Dallas. SWA refused to offer even partial compensation. He said talking to anyone above him would be wasting my time and would not transfer me to a supervisor. I hung up. It was obvious SWA was not going to acknowledge they made a mistake cancelling our flight or even apologize for causing such unnecessary stress and expense costing us over $1,200.00 in additional ticket fees.","Type Of Traveller Family Leisure
Cabin Flown Economy Class
Route Atlanta to Dallas Love Field
Date Flown August 2017
Seat Comfort 12345
Cabin Staff Service 12345
Ground Service 12345
Value For Money 12345
Recommended no"
Southwest Airlines,3,Christine Herbert,12th August 2017,Verified Review | I have flown Southwest Airlines through Houston and Dallas over 15 times in last year and there has been delay after delay after delay. Most recent day was due to not having enough flight attendants / staff. Southwest is an extremely unreliable airline. I fly out of New Orleans twice per month and will be taking my business elsewhere from now on.,"Type Of Traveller Solo Leisure
Cabin Flown Economy Class
Route New Orleans to Houston
Date Flown August 2017
Seat Comfort 12345
Cabin Staff Service 12345
Food & Beverages 12345
Inflight Entertainment 12345
Ground Service 12345
Wifi & Connectivity 12345
Value For Money 12345
Recommended no"
